Season,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WIN,LOSS,WIN%
Overall,Minnesota Timberwolves,80,241.22,41.62,89.12,0.47,12.56,34.72,0.36,29.04,54.4,0.54,18.08,23.42,0.77,10.3,33.28,43.6,25.74,8.36,5.52,14.24,20.68,113.86,42.2,37.8,0.53
Overall,Boston Celtics,80,241.22,42.08,89.16,0.47,14.38,38.62,0.37,27.7,50.54,0.55,16.5,20.6,0.8,10.26,35,45.3,25.64,7.34,5.64,13.16,18.86,115.06,47.6,32.4,0.59
Overall,Brooklyn Nets,80,241.22,41.52,87.92,0.47,12.92,34.9,0.37,28.62,53.04,0.54,17.62,22.54,0.78,9.96,34.02,44,25.4,6.86,5.26,13.9,20.1,113.5,41.4,38.6,0.52
Overall,Los Angeles Lakers,80,241.22,42.28,88.38,0.48,11.2,31.86,0.35,31.08,56.54,0.55,17.96,24.08,0.75,9.52,35.22,44.72,25.62,7.34,5.22,14.7,18.7,113.72,45,35,0.56
Overall,San Antonio Spurs,80,241.22,42.48,90.98,0.47,10.96,30.86,0.36,31.52,60.12,0.52,16.28,20.92,0.78,10.34,34.04,44.36,26.78,6.96,4.98,13.32,18.26,112.22,37.4,42.6,0.47
Overall,Utah Jazz,80,241.22,41.36,88.08,0.47,13.9,38.32,0.36,27.42,49.74,0.55,18.28,23.36,0.78,11.08,35.38,46.48,25.06,6.9,5.36,14.88,19.52,114.9,46,34,0.58
Overall,Denver Nuggets,80,241.22,42.9,88.14,0.49,12.02,32.78,0.37,30.88,55.36,0.56,16.02,20.74,0.77,10.48,33.98,44.46,28.08,7.52,4.54,13.7,19.18,113.84,43.6,36.4,0.55
Overall,Charlotte Hornets,80,241.22,40.84,89.28,0.46,12.46,35.12,0.35,28.38,54.16,0.52,16.44,21.48,0.77,10.32,33.06,43.4,25.6,7.64,4.86,13.66,19.02,110.62,32.8,47.2,0.41
Overall,Dallas Mavericks,80,241.22,40.46,86.66,0.47,13.84,38.52,0.36,26.62,48.12,0.55,17.54,23.06,0.76,9.16,33.52,42.66,23.66,6.54,4.26,12.7,19.64,112.28,37.2,42.8,0.47
Overall,Indiana Pacers,80,241.22,43.14,90.24,0.48,14.2,38.42,0.37,28.98,51.82,0.56,17.4,22.76,0.77,10.06,37.4,47.46,25.54,7.28,4.88,13.72,18.48,117.92,52.6,27.4,0.66
Overall,Phoenix Suns,80,241.22,42.34,88.4,0.48,11.78,32.2,0.37,30.56,56.22,0.54,17.04,21.28,0.8,9.92,33.46,43.38,26.5,7.86,5.02,13.88,20.36,113.48,45.6,34.4,0.57
Overall,Orlando Magic,80,241.22,39.6,87.56,0.45,11.26,32.64,0.35,28.36,54.92,0.52,17.04,21.94,0.78,10.04,34.12,44.12,23.78,7.18,4.84,14.06,19.06,107.48,25.8,54.2,0.32
Overall,Detroit Pistons,80,241.22,39.24,87.56,0.45,11.48,33.28,0.34,27.74,54.26,0.51,17.82,23.18,0.77,10.74,32.56,43.28,23.74,7.1,4.5,14.64,21.44,107.72,20.8,59.2,0.26
Overall,Miami Heat,80,241.22,39.48,85.48,0.46,12.46,34.58,0.36,27.06,50.9,0.53,17.24,21.84,0.79,9.6,33.28,42.88,25.14,7.68,3.82,13.92,19.22,108.68,26.4,53.6,0.33
Overall,Chicago Bulls,80,241.22,41.64,87.94,0.47,10.84,29.94,0.36,30.82,58,0.53,16.36,20.52,0.8,9.36,33.92,43.28,24.42,7.38,4.38,13.52,19.14,110.52,33.6,46.4,0.42
Overall,New York Knicks,80,241.22,39.72,87.82,0.45,12.16,33.58,0.36,27.58,54.2,0.51,17.78,23.24,0.77,11.4,34.18,45.54,22.14,6.94,4.66,13.28,19.94,109.38,30.8,49.2,0.38
Overall,Cleveland Cavaliers,80,241.22,40.12,86.08,0.47,11.4,32,0.36,28.72,54.08,0.53,16.6,21.62,0.77,10.16,32.6,42.82,24.52,7.18,4.08,14.06,18.44,108.2,29,51,0.36
Overall,Memphis Grizzlies,80,241.22,41.28,90.18,0.46,11.54,33,0.35,29.76,57.2,0.52,16.92,22.44,0.75,11.4,33.92,45.34,25.5,8.74,5.8,13.84,19.92,111.02,38,42,0.48
